구별,동별,연도,면적
송파구,방이2동,2020,0.8
송파구,방이2동,2021,0.8
송파구,방이2동,2022,0.8
송파구,삼전동,2018,0.95
송파구,삼전동,2019,0.95
송파구,삼전동,2020,0.95
송파구,삼전동,2021,0.95
송파구,삼전동,2022,0.95
송파구,석촌동,2018,0.95
송파구,석촌동,2019,0.95
송파구,석촌동,2020,0.95
송파구,석촌동,2021,0.95
송파구,석촌동,2022,0.95
송파구,송파1동,2018,0.79
송파구,송파1동,2019,0.79
송파구,송파1동,2020,0.79
송파구,송파1동,2021,0.79
송파구,송파1동,2022,0.79
송파구,송파2동,2018,0.53
송파구,송파2동,2019,0.53
송파구,송파2동,2020,0.53
송파구,송파2동,2021,0.53
송파구,송파2동,2022,0.53
송파구,오금동,2018,1.65
송파구,오금동,2019,1.65
송파구,오금동,2020,1.65
송파구,오금동,2021,1.65
송파구,오금동,2022,1.65
송파구,오륜동,2018,3.17
송파구,오륜동,2019,3.17
송파구,오륜동,2020,3.17
송파구,오륜동,2021,3.17
송파구,오륜동,2022,3.17
송파구,위례동,2018,2.55
송파구,위례동,2019,2.55
송파구,위례동,2020,2.55
송파구,위례동,2021,2.55
송파구,위례동,2022,2.55
송파구,잠실2동,2018,2.18
송파구,잠실2동,2019,2.18
송파구,잠실2동,2020,2.18
송파구,잠실2동,2021,2.18
송파구,잠실2동,2022,2.18
송파구,잠실3동,2018,1.49
송파구,잠실3동,2019,1.49
송파구,잠실3동,2020,1.49
송파구,잠실3동,2021,1.49
송파구,잠실3동,2022,1.49
송파구,잠실4동,2018,1.56
송파구,잠실4동,2019,1.56
송파구,잠실4동,2020,1.56
송파구,잠실4동,2021,1.56
송파구,잠실4동,2022,1.56
송파구,잠실6동,2018,2.79
송파구,잠실6동,2019,2.79
송파구,잠실6동,2020,2.79
송파구,잠실6동,2021,2.79
송파구,잠실6동,2022,2.79
송파구,잠실7동,2018,0.6
송파구,잠실7동,2019,0.6
송파구,잠실7동,2020,0.6
송파구,잠실7동,2021,0.6
송파구,잠실7동,2022,0.6
송파구,잠실본동,2018,0.94
송파구,잠실본동,2019,0.94
송파구,잠실본동,2020,0.94
송파구,잠실본동,2021,0.94
송파구,잠실본동,2022,0.94
송파구,장지동,2018,1.37
송파구,장지동,2019,1.37
송파구,장지동,2020,1.37
송파구,장지동,2021,1.37
송파구,장지동,2022,1.37
송파구,풍납1동,2018,0.77
송파구,풍납1동,2019,0.77
